Codice ISTAT;Descrizione ISTAT;Ateco description;Codice Completo;Codice Dotless;Codice REA (solo num)
01.47;Allevamento di pollame;Poultry farming;A.01.47;A0147;0147
01.47.0;Allevamento di pollame;Poultry farming;A.01.47.0;A01470;01470
01.47.00;Allevamento di pollame;Poultry farming;A.01.47.00;A014700;014700
01.49;Allevamento di altri animali;Breeding of other animals;A.01.49;A0149;0149
01.49.1;Allevamento di conigli;Rabbit breeding;A.01.49.1;A01491;01491
01.49.10;Allevamento di conigli;Rabbit breeding;A.01.49.10;A014910;014910
01.49.2;Allevamento di animali da pelliccia;Fur farming;A.01.49.2;A01492;01492
01.49.20;Allevamento di animali da pelliccia;Fur farming;A.01.49.20;A014920;014920
01.49.3;Apicoltura;Beekeeping;A.01.49.3;A01493;01493
01.49.30;Apicoltura;Beekeeping;A.01.49.30;A014930;014930
01.49.4;Bachicoltura;Sericulture;A.01.49.4;A01494;01494
01.49.40;Bachicoltura;Sericulture;A.01.49.40;A014940;014940
01.49.9;Allevamento di altri animali n.c.a.;Other animal husbandry n.e.c.;A.01.49.9;A01499;01499
01.49.90;Allevamento di altri animali n.c.a.;Other animal husbandry n.e.c.;A.01.49.90;A014990;014990
01.5;COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA;AGRICULTURAL CROPS ASSOCIATED WITH ANIMAL FARMING: MIXED ACTIVITY;A.01.5;A015;015
01.50;Coltivazioni agricole associate all'allevamento di animali: attività mista;AGRICULTURAL CROPS ASSOCIATED WITH ANIMAL FARMING: MIXED ACTIVITY;A.01.50;A0150;0150
01.50.0;Coltivazioni agricole associate all'allevamento di animali: attività mista;AGRICULTURAL CROPS ASSOCIATED WITH ANIMAL FARMING: MIXED ACTIVITY;A.01.50.0;A01500;01500
01.50.00;Coltivazioni agricole associate all'allevamento di animali: attività mista;AGRICULTURAL CROPS ASSOCIATED WITH ANIMAL FARMING: MIXED ACTIVITY;A.01.50.00;A015000;015000
01.6;ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA;AGRICULTURAL SUPPORT ACTIVITIES AND POST-HARVEST ACTIVITIES;A.01.6;A016;016
01.61;Attività di supporto alla produzione vegetale;Plant production support activities;A.01.61;A0161;0161
01.61.0;Attività di supporto alla produzione vegetale;Plant production support activities;A.01.61.0;A01610;01610
01.61.00;Attività di supporto alla produzione vegetale;Plant production support activities;A.01.61.00;A016100;016100
01.62;Attività di supporto alla produzione animale;Animal production support activities;A.01.62;A0162;0162
01.62.0;Attività di supporto alla produzione animale (esclusi i servizi veterinari);Support activities for animal production (excluding veterinary services);A.01.62.0;A01620;01620
01.62.01;Attività dei maniscalchi;Blacksmiths' activities;A.01.62.01;A016201;016201
01.62.09;Altre attività di supporto alla produzione animale (esclusi i servizi veterinari);Other activities supporting animal production (excluding veterinary services);A.01.62.09;A016209;016209
01.63;Attività successive alla raccolta;Post-harvest activities;A.01.63;A0163;0163
01.63.0;Attività che seguono la raccolta;Activities following the collection;A.01.63.0;A01630;01630
01.63.00;Attività che seguono la raccolta;Activities following the collection;A.01.63.00;A016300;016300
01.64;Lavorazione delle sementi per la semina;Seed processing for sowing;A.01.64;A0164;0164
01.64.0;Lavorazione delle sementi per la semina;Seed processing for sowing;A.01.64.0;A01640;01640
01.64.01;Pulitura e cernita di semi e granaglie;Cleaning and sorting of seeds and grains;A.01.64.01;A016401;016401
01.64.09;Altre lavorazioni delle sementi per la semina;Other seed processing for sowing;A.01.64.09;A016409;016409
01.7;CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI;HUNTING, ANIMAL TRAPPING AND RELATED SERVICES;A.01.7;A017;017
01.70;Caccia, cattura di animali e servizi connessi;HUNTING, ANIMAL TRAPPING AND RELATED SERVICES;A.01.70;A0170;0170
01.70.0;Caccia, cattura di animali e servizi connessi;HUNTING, ANIMAL TRAPPING AND RELATED SERVICES;A.01.70.0;A01700;01700
01.70.00;Caccia, cattura di animali e servizi connessi;HUNTING, ANIMAL TRAPPING AND RELATED SERVICES;A.01.70.00;A017000;017000
02;SILVICOLTURA ED UTILIZZO DI AREE FORESTALI;FORESTRY AND USE OF FOREST AREAS;A.02;A02;02
02.1;SILVICOLTURA ED ALTRE ATTIVITÀ FORESTALI;FORESTRY AND OTHER FORESTRY ACTIVITIES;A.02.1;A021;021
02.10;Silvicoltura ed altre attività forestali;FORESTRY AND OTHER FORESTRY ACTIVITIES;A.02.10;A0210;0210
02.10.0;Silvicoltura e altre attività forestali;Forestry and other forestry activities;A.02.10.0;A02100;02100
02.10.00;Silvicoltura e altre attività forestali;Forestry and other forestry activities;A.02.10.00;A021000;021000
02.2;UTILIZZO DI AREE FORESTALI;USE OF FOREST AREAS;A.02.2;A022;022
02.20;Utilizzo di aree forestali;USE OF FOREST AREAS;A.02.20;A0220;0220
02.20.0;Utilizzo di aree forestali;USE OF FOREST AREAS;A.02.20.0;A02200;02200
02.20.00;Utilizzo di aree forestali;USE OF FOREST AREAS;A.02.20.00;A022000;022000
02.3;RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI;HARVESTING OF NON-WOOD WILD PRODUCTS;A.02.3;A023;023
02.30;Raccolta di prodotti selvatici non legnosi;HARVESTING OF NON-WOOD WILD PRODUCTS;A.02.30;A0230;0230
02.30.0;Raccolta di prodotti selvatici non legnosi;HARVESTING OF NON-WOOD WILD PRODUCTS;A.02.30.0;A02300;02300
02.30.00;Raccolta di prodotti selvatici non legnosi;HARVESTING OF NON-WOOD WILD PRODUCTS;A.02.30.00;A023000;023000
02.4;SERVIZI DI SUPPORTO PER LA SILVICOLTURA;FORESTRY SUPPORT SERVICES;A.02.4;A024;024
02.40;Servizi di supporto per la silvicoltura;FORESTRY SUPPORT SERVICES;A.02.40;A0240;0240
02.40.0;Servizi di supporto per la silvicoltura;FORESTRY SUPPORT SERVICES;A.02.40.0;A02400;02400
02.40.00;Servizi di supporto per la silvicoltura;FORESTRY SUPPORT SERVICES;A.02.40.00;A024000;024000
03;PESCA E ACQUACOLTURA;FISHING AND AQUACULTURE;A.03;A03;03
03.1;PESCA;FISHING;A.03.1;A031;031
03.11;Pesca marina;Marine fishing;A.03.11;A0311;0311
03.11.0;Pesca in acque marine e lagunari e servizi connessi;Fishing in marine and lagoon waters and related services;A.03.11.0;A03110;03110
03.11.00;Pesca in acque marine e lagunari e servizi connessi;Fishing in marine and lagoon waters and related services;A.03.11.00;A031100;031100
03.12;Pesca in acque dolci;Freshwater fishing;A.03.12;A0312;0312
03.12.0;Pesca in acque dolci e servizi connessi;Freshwater fishing and related services;A.03.12.0;A03120;03120
03.12.00;Pesca in acque dolci e servizi connessi;Freshwater fishing and related services;A.03.12.00;A031200;031200
03.2;ACQUACOLTURA;AQUACULTURE;A.03.2;A032;032
03.21;Acquacoltura marina;Marine aquaculture;A.03.21;A0321;0321
03.21.0;Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi;Aquaculture in seawater, brackish water or lagoon water and related services;A.03.21.0;A03210;03210
03.21.00;Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi;Aquaculture in seawater, brackish water or lagoon water and related services;A.03.21.00;A032100;032100
03.22;Acquacoltura in acque dolci;Freshwater aquaculture;A.03.22;A0322;0322
03.22.0;Acquacoltura in acque dolci e servizi connessi;Freshwater aquaculture and related services;A.03.22.0;A03220;03220
03.22.00;Acquacoltura in acque dolci e servizi connessi;Freshwater aquaculture and related services;A.03.22.00;A032200;032200
B;ESTRAZIONE DI MINERALI DA CAVE E MINIERE;EXTRACTION OF MINERALS FROM QUARRIES AND MINES;B;B;
05;ESTRAZIONE DI CARBONE (ESCLUSA TORBA);COAL EXTRACTION (EXCLUDING PEAT);B.05;B05;05
05.1;ESTRAZIONE DI ANTRACITE;ANTHRACITE EXTRACTION;B.05.1;B051;051
05.10;Estrazione di antracite;ANTHRACITE EXTRACTION;B.05.10;B0510;0510
05.10.0;Estrazione di antracite e litantrace;Anthracite and bituminous coal mining;B.05.10.0;B05100;05100
05.10.00;Estrazione di antracite e litantrace;Anthracite and bituminous coal mining;B.05.10.00;B051000;051000
05.2;ESTRAZIONE DI LIGNITE;LIGNITE EXTRACTION;B.05.2;B052;052
05.20;Estrazione di lignite;LIGNITE EXTRACTION;B.05.20;B0520;0520
05.20.0;Estrazione di lignite;LIGNITE EXTRACTION;B.05.20.0;B05200;05200
05.20.00;Estrazione di lignite;LIGNITE EXTRACTION;B.05.20.00;B052000;052000
06;ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE;EXTRACTION OF CRUDE OIL AND NATURAL GAS;B.06;B06;06
06.1;ESTRAZIONE DI PETROLIO GREGGIO;CRUDE OIL EXTRACTION;B.06.1;B061;061
06.10;Estrazione di petrolio greggio;CRUDE OIL EXTRACTION;B.06.10;B0610;0610
06.10.0;Estrazione di petrolio greggio;CRUDE OIL EXTRACTION;B.06.10.0;B06100;06100
06.10.00;Estrazione di petrolio greggio;CRUDE OIL EXTRACTION;B.06.10.00;B061000;061000
06.2;ESTRAZIONE DI GAS NATURALE;NATURAL GAS EXTRACTION;B.06.2;B062;062
06.20;Estrazione di gas naturale;NATURAL GAS EXTRACTION;B.06.20;B0620;0620
06.20.0;Estrazione di gas naturale;NATURAL GAS EXTRACTION;B.06.20.0;B06200;06200
06.20.00;Estrazione di gas naturale;NATURAL GAS EXTRACTION;B.06.20.00;B062000;062000
07;ESTRAZIONE DI MINERALI METALLIFERI;EXTRACTION OF METALLIC MINERALS;B.07;B07;07
07.1;ESTRAZIONE DI MINERALI METALLIFERI FERROSI;EXTRACTION OF FERROUS METAL MINERALS;B.07.1;B071;071
07.10;Estrazione di minerali metalliferi ferrosi;EXTRACTION OF FERROUS METAL MINERALS;B.07.10;B0710;0710
07.10.0;Estrazione di minerali metalliferi ferrosi;EXTRACTION OF FERROUS METAL MINERALS;B.07.10.0;B07100;07100
07.10.00;Estrazione di minerali metalliferi ferrosi;EXTRACTION OF FERROUS METAL MINERALS;B.07.10.00;B071000;071000
07.2;ESTRAZIONE DI MINERALI METALLIFERI NON FERROSI;EXTRACTION OF NON-FERROUS METALLIC MINERALS;B.07.2;B072;072
07.21;Estrazione di minerali di uranio e di torio;Mining of uranium and thorium minerals;B.07.21;B0721;0721
07.21.0;Estrazione di minerali di uranio e di torio;Mining of uranium and thorium minerals;B.07.21.0;B07210;07210
07.21.00;Estrazione di minerali di uranio e di torio;Mining of uranium and thorium minerals;B.07.21.00;B072100;072100
07.29;Estrazione di altri minerali metalliferi non ferrosi;Mining of other non-ferrous metal ores;B.07.29;B0729;0729
07.29.0;Estrazione di altri minerali metalliferi non ferrosi;Mining of other non-ferrous metal ores;B.07.29.0;B07290;07290
07.29.00;Estrazione di altri minerali metalliferi non ferrosi;Mining of other non-ferrous metal ores;B.07.29.00;B072900;072900
08;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;OTHER MINERAL EXTRACTION ACTIVITIES FROM QUARRIES AND MINES;B.08;B08;08
08.1;ESTRAZIONE DI PIETRA, SABBIA E ARGILLA;EXTRACTION OF STONE, SAND AND CLAY;B.08.1;B081;081
08.11;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia;Quarrying of ornamental and building stone, limestone, gypsum, chalk, and slate;B.08.11;B0811;0811
08.11.0;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia;Quarrying of ornamental and building stone, limestone, gypsum, chalk, and slate;B.08.11.0;B08110;08110
08.11.00;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia;Quarrying of ornamental and building stone, limestone, gypsum, chalk, and slate;B.08.11.00;B081100;081100
08.12;"Estrazione di ghiaia e sabbia; estrazione di argille e caolino";"Gravel and sand mining; clay and kaolin mining";B.08.12;B0812;0812
08.12.0;"Estrazione di ghiaia, sabbia; estrazione di argille e caolino";"Extraction of gravel, sand; extraction of clay and kaolin";B.08.12.0;B08120;08120
08.12.00;"Estrazione di ghiaia, sabbia; estrazione di argille e caolino";"Extraction of gravel, sand; extraction of clay and kaolin";B.08.12.00;B081200;081200
08.9;ESTRAZIONE DI MINERALI DA CAVE E MINIERE N.C.A.;EXTRACTION OF MINERALS FROM QUARRIES AND MINES N.E.C.;B.08.9;B089;089
08.91;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti;Extraction of minerals for the chemical industry and for the production of fertilizers;B.08.91;B0891;0891
08.91.0;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti;Extraction of minerals for the chemical industry and for the production of fertilizers;B.08.91.0;B08910;08910
08.91.00;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti;Extraction of minerals for the chemical industry and for the production of fertilizers;B.08.91.00;B089100;089100
08.92;Estrazione di torba;Peat extraction;B.08.92;B0892;0892
08.92.0;Estrazione di torba;Peat extraction;B.08.92.0;B08920;08920
08.92.00;Estrazione di torba;Peat extraction;B.08.92.00;B089200;089200
08.93;Estrazione di sale;Salt extraction;B.08.93;B0893;0893
08.93.0;Estrazione di sale;Salt extraction;B.08.93.0;B08930;08930
08.93.00;Estrazione di sale;Salt extraction;B.08.93.00;B089300;089300
08.99;Estrazione di altri minerali da cave e miniere n.c.a.;Extraction of other minerals from quarries and mines n.e.c.;B.08.99;B0899;0899
08.99.0;Estrazione di altri minerali n.c.a.;Mining of other minerals n.e.c.;B.08.99.0;B08990;08990
08.99.01;Estrazione di asfalto e bitume naturale;Extraction of asphalt and natural bitumen;B.08.99.01;B089901;089901
08.99.09;Estrazione di pomice e di altri minerali n.c.a.;Mining of pumice and other minerals n.e.c.;B.08.99.09;B089909;089909
09;ATTIVITÀ DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE;EXTRACTION SUPPORT SERVICES ACTIVITIES;B.09;B09;09
09.1;ATTIVITÀ DI SUPPORTO ALL'ESTRAZIONE DI PETROLIO E DI GAS NATURALE;SUPPORT ACTIVITIES FOR OIL AND NATURAL GAS EXTRACTION;B.09.1;B091;091
09.10;Attività di supporto all'estrazione di petrolio e di gas naturale;SUPPORT ACTIVITIES FOR OIL AND NATURAL GAS EXTRACTION;B.09.10;B0910;0910
09.10.0;Attività di supporto all'estrazione di petrolio e di gas naturale;SUPPORT ACTIVITIES FOR OIL AND NATURAL GAS EXTRACTION;B.09.10.0;B09100;09100
09.10.00;Attività di supporto all'estrazione di petrolio e di gas naturale;SUPPORT ACTIVITIES FOR OIL AND NATURAL GAS EXTRACTION;B.09.10.00;B091000;091000
09.9;ATTIVITÀ DI SUPPORTO PER L'ESTRAZIONE DA CAVE E MINIERE DI ALTRI MINERALI;SUPPORT ACTIVITIES FOR THE EXTRACTION OF OTHER MINERALS FROM QUARRIES AND MINES;B.09.9;B099;099
09.90;Attività di supporto per l'estrazione da cave e miniere di altri minerali;SUPPORT ACTIVITIES FOR THE EXTRACTION OF OTHER MINERALS FROM QUARRIES AND MINES;B.09.90;B0990;0990
09.90.0;Attività di supporto per l'estrazione da cave e miniere di altri minerali;SUPPORT ACTIVITIES FOR THE EXTRACTION OF OTHER MINERALS FROM QUARRIES AND MINES;B.09.90.0;B09900;09900
09.90.01;Attività di supporto all'estrazione di pietre ornamentali, da costruzione, da gesso, di anidrite, per calce e cementi, di dolomite, di ardesia, di ghiaia e sabbia, di argilla, di caolino, di pomice;Support activities for the extraction of ornamental stone, construction stone, gypsum stone, anhydrite stone, lime and cement stone, dolomite stone, slate stone, gravel and sand stone, clay stone, kaolin stone, pumice stone;B.09.90.01;B099001;099001
09.90.09;Attività di supporto all'estrazione di altri minerali n.c.a.;Support activities for mining of other minerals n.e.c.;B.09.90.09;B099009;099009
C;ATTIVITÀ MANIFATTURIERE;MANUFACTURING ACTIVITIES;C;C;
10;INDUSTRIE ALIMENTARI;FOOD INDUSTRIES;C.10;C10;10
10.1;LAVORAZIONE E CONSERVAZIONE DI CARNE E PRODUZIONE DI PRODOTTI A BASE DI CARNE;MEAT PROCESSING AND PRESERVATION AND PRODUCTION OF MEAT PRODUCTS;C.10.1;C101;101
10.11;Lavorazione e conservazione di carne (escluso volatili);Processing and preservation of meat (excluding poultry);C.10.11;C1011;1011
10.11.0;Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi);Production of non-poultry meat and slaughter products (slaughterhouse activities);C.10.11.0;C10110;10110
10.11.00;Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi);Production of non-poultry meat and slaughter products (slaughterhouse activities);C.10.11.00;C101100;101100
10.12;Lavorazione e conservazione di carne di volatili;Processing and preservation of poultry meat;C.10.12;C1012;1012
